gloss,display_prompt,module,recognition_status
hello,HELLO,greetings,content_only
goodbye,GOODBYE,greetings,content_only
please,PLEASE,manners,content_only
thank_you,THANK YOU,manners,content_only
sorry,SORRY,manners,content_only
yes,YES,core,content_only
no,NO,core,active
me,ME,pronouns,content_only
you,YOU,pronouns,content_only
we,WE,pronouns,content_only
they,THEY,pronouns,content_only
name,NAME,identity,content_only
what,WHAT,questions,content_only
who,WHO,questions,content_only
where,WHERE,questions,content_only
when,WHEN,questions,content_only
why,WHY,questions,content_only
how,HOW,questions,content_only
again,AGAIN,core,content_only
more,MORE,core,active
help,HELP,core,active
want,WANT,core,content_only
need,NEED,core,content_only
have,HAVE,core,content_only
finish,FINISH,core,active
start,START,core,content_only
stop,STOP,core,active
go,GO,core,content_only
come,COME,core,content_only
open,OPEN,actions,active
close,CLOSE,actions,content_only
sit,SIT,actions,content_only
stand,STAND,actions,content_only
walk,WALK,actions,content_only
play,PLAY,actions,active
read,READ,school,active
write,WRITE,school,content_only
book,BOOK,school,active
school,SCHOOL,school,content_only
class,CLASS,school,content_only
teacher,TEACHER,school,content_only
student,STUDENT,school,content_only
learn,LEARN,school,content_only
home,HOME,places,content_only
work,WORK,places,content_only
bathroom,BATHROOM,places,content_only
car,CAR,transport,active
bus,BUS,transport,content_only
family,FAMILY,people,content_only
friend,FRIEND,people,content_only
mother,MOTHER,people,content_only
father,FATHER,people,content_only
sister,SISTER,people,content_only
brother,BROTHER,people,content_only
eat,EAT,food,content_only
drink,DRINK,food,content_only
water,WATER,food,content_only
coffee,COFFEE,food,content_only
milk,MILK,food,content_only
apple,APPLE,food,content_only
bread,BREAD,food,content_only
pizza,PIZZA,food,content_only
breakfast,BREAKFAST,food,content_only
lunch,LUNCH,food,content_only
dinner,DINNER,food,content_only
day,DAY,time,content_only
night,NIGHT,time,content_only
morning,MORNING,time,content_only
today,TODAY,time,content_only
tomorrow,TOMORROW,time,content_only
yesterday,YESTERDAY,time,content_only
week,WEEK,time,content_only
monday,MONDAY,time,content_only
tuesday,TUESDAY,time,content_only
wednesday,WEDNESDAY,time,content_only
thursday,THURSDAY,time,content_only
friday,FRIDAY,time,content_only
saturday,SATURDAY,time,content_only
sunday,SUNDAY,time,content_only
time,TIME,time,content_only
now,NOW,time,content_only
later,LATER,time,content_only
before,BEFORE,time,content_only
after,AFTER,time,content_only
good,GOOD,descriptors,content_only
bad,BAD,descriptors,content_only
happy,HAPPY,feelings,content_only
sad,SAD,feelings,content_only
tired,TIRED,feelings,content_only
sick,SICK,feelings,content_only
hot,HOT,descriptors,content_only
cold,COLD,descriptors,content_only
big,BIG,descriptors,content_only
small,SMALL,descriptors,content_only
red,RED,colors,content_only
blue,BLUE,colors,content_only
green,GREEN,colors,content_only
black,BLACK,colors,content_only
white,WHITE,colors,content_only
dog,DOG,animals,content_only
